,Channels,long,lat,arrival time
283,713.0,-121.884858768,37.3390350231,1337.68057365
284,714.0,-121.884849648,37.339039506,1337.58785025
285,715.0,-121.88484081,37.3390438494,1337.49797831
286,716.0,-121.884831655,37.3390483496,1337.40486272
287,717.0,-121.884822568,37.339052816,1337.31246618
288,718.0,-121.884813478,37.339057284,1337.22001643
289,719.0,-121.884804478,37.3390617077,1337.12847932
290,720.0,-121.884795966,37.3390658913,1337.03840359
291,721.0,-121.884787733,37.3390700182,1336.94863897
292,722.0,-121.884779284,37.3390743141,1336.86011958
293,723.0,-121.884770857,37.3390785996,1336.77441393
294,724.0,-121.884762368,37.3390829155,1336.68810057
295,725.0,-121.884753829,37.3390872575,1336.60123922
296,726.0,-121.884745392,37.3390915482,1336.51543393
297,727.0,-121.884737068,37.3390957804,1336.43081309
298,728.0,-121.884728731,37.3391000193,1336.3460266
299,729.0,-121.884720293,37.3391043099,1336.26019363
300,730.0,-121.88471214,37.3391084557,1336.17728891
301,731.0,-121.884703892,37.3391126494,1336.093574
302,732.0,-121.884693952,37.339117699,1335.99557823
303,733.0,-121.884683839,37.3391227565,1335.89725089
304,734.0,-121.884673916,37.3391277178,1335.79804184
305,735.0,-121.884664077,37.3391326371,1335.69964677
306,736.0,-121.884654485,37.3391374335,1335.60372136
307,737.0,-121.884644677,37.339142337,1335.50565722
308,738.0,-121.884635251,37.33914705,1335.41138633
309,739.0,-121.884626235,37.3391515583,1335.32121708
310,740.0,-121.884617126,37.3391561129,1335.23012378
311,741.0,-121.884608355,37.3391604981,1335.14242354
312,742.0,-121.884599491,37.3391649295,1335.05673272
313,743.0,-121.88459002,37.3391695843,1334.97131748
314,744.0,-121.884580877,37.3391739332,1334.88724258
315,745.0,-121.884572365,37.3391779798,1334.80350811
316,746.0,-121.884563611,37.3391821418,1334.71739279
317,747.0,-121.884555152,37.3391861634,1334.63419637
318,748.0,-121.884546741,37.3391901622,1334.55146605
319,749.0,-121.884538333,37.3391941597,1334.46876342
320,750.0,-121.884530404,37.339197929,1334.39078644
321,751.0,-121.884521546,37.3392021398,1334.30365358
322,752.0,-121.884512332,37.3392065208,1334.21299956
323,753.0,-121.8845043,37.3392103389,1334.13402394
324,754.0,-121.884496102,37.3392142361,1334.05432686
325,755.0,-121.884487896,37.339218116,1333.9763906
326,756.0,-121.884479905,37.339221845,1333.89879495
327,757.0,-121.884472161,37.3392254591,1333.82132614
328,758.0,-121.884464271,37.339229141,1333.74243088
329,759.0,-121.8844564,37.3392328143,1333.66372255
330,760.0,-121.884448564,37.3392364713,1333.5853503
331,761.0,-121.884441158,37.3392399271,1333.51131893
332,762.0,-121.884433804,37.339243359,1333.43776404
333,763.0,-121.884426432,37.3392467996,1333.36403643
334,764.0,-121.884419033,37.339250252,1333.2900629
335,765.0,-121.884411648,37.3392536985,1333.21619788
336,766.0,-121.884404312,37.3392571219,1333.14285047
337,767.0,-121.884396999,37.3392605347,1333.06970943
338,768.0,-121.884389304,37.3392641205,1333.00176888
339,769.0,-121.884381321,37.3392676637,1332.93211177
340,770.0,-121.8843746,37.3392706386,1332.86622968
